HumanEval_0.py: 12582896.00 Byte, 0.00 Byte
Mbpp_166.py: 16680.00 Byte, 0.00 Byte
Mbpp_170.py: 14483640.00 Byte, 0.00 Byte
Mbpp_226.py: 4194353.00 Byte, 0.00 Byte
Mbpp_230.py: 1048624.00 Byte, 0.00 Byte
Mbpp_240.py: 1572864.00 Byte, 0.00 Byte
Mbpp_251.py: 1665128.00 Byte, 0.00 Byte
Mbpp_256.py: 327908.00 Byte, 0.00 Byte
Mbpp_265.py: 2550020.00 Byte, 4424.00 Byte
Mbpp_281.py: 303368.00 Byte, 0.00 Byte
Mbpp_296.py: 263784.00 Byte, 368.00 Byte
Mbpp_308.py: 10671520.00 Byte, 0.00 Byte
Mbpp_392.py: 19139.00 Byte, 16327.00 Byte
Mbpp_395.py: 3740.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
Mbpp_414.py: 5374600.00 Byte, 0.00 Byte
Mbpp_421.py: 6261264.00 Byte, 0.00 Byte
Mbpp_424.py: 33184.00 Byte, 0.00 Byte
Mbpp_425.py: 4376704.00 Byte, 4480.00 Byte
Mbpp_428.py: 65744.00 Byte, 0.00 Byte
Mbpp_433.py: 8388944.00 Byte, 0.00 Byte
Mbpp_437.py: 4194353.00 Byte, 0.00 Byte
Mbpp_446.py: 65872.00 Byte, 0.00 Byte
Mbpp_451.py: 1146.00 Byte, 0.00 Byte
Mbpp_456.py: 34073351.00 Byte, 0.00 Byte
Mbpp_460.py: 4179368.00 Byte, 4480.00 Byte
Mbpp_474.py: 524337.00 Byte, 0.00 Byte
Mbpp_476.py: 8388656.00 Byte, 0.00 Byte
Mbpp_477.py: 4194353.00 Byte, 0.00 Byte
Mbpp_572.py: 573728.00 Byte, 0.00 Byte
Mbpp_578.py: 3197264.00 Byte, 0.00 Byte
Mbpp_586.py: 786432.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_588.py: 8388656.00 Byte, 0.00 Byte
Mbpp_597.py: 36282280.00 Byte, 0.00 Byte
Mbpp_604.py: 39300416.00 Byte, 0.00 Byte
Mbpp_610.py: 25165808.00 Byte, 0.00 Byte
Mbpp_611.py: 8450664.00 Byte, 4480.00 Byte
Mbpp_631.py: 9497297.00 Byte, 0.00 Byte
Mbpp_632.py: 1596828.00 Byte, 0.00 Byte
Mbpp_644.py: 12582912.00 Byte, 0.00 Byte
Mbpp_720.py: 7864952.00 Byte, 0.00 Byte
Mbpp_725.py: 33413616.00 Byte, 0.00 Byte
Mbpp_740.py: 885052.00 Byte, 0.00 Byte
Mbpp_744.py: 0.00 Byte, 0.00 Byte
Mbpp_750.py: 16777272.00 Byte, 56.00 Byte
Mbpp_753.py: 16735448.00 Byte, 0.00 Byte
Mbpp_754.py: 923376.00 Byte, 0.00 Byte
Mbpp_755.py: 7340296.00 Byte, 0.00 Byte
Mbpp_757.py: 189471.00 Byte, 0.00 Byte
Mbpp_758.py: 8540112.00 Byte, 4544.00 Byte
Mbpp_760.py: 262408.00 Byte, 0.00 Byte
Mbpp_764.py: 296.00 Byte, 0.00 Byte
Mbpp_766.py: 75445740.00 Byte, 112000.00 Byte
Mbpp_775.py: 33554584.00 Byte, 0.00 Byte
Mbpp_777.py: 7340480.00 Byte, 0.00 Byte
Mbpp_781.py: 152.00 Byte, 0.00 Byte
Mbpp_800.py: 96.00 Byte, 0.00 Byte
Mbpp_805.py: 8450536.00 Byte, 4480.00 Byte
Mbpp_808.py: 0.00 Byte, 0.00 Byte
