HumanEval_0.py: 8389100.00 Byte, 128.00 Byte
Mbpp_308.py: 4370904.00 Byte, 0.00 Byte
Mbpp_392.py: 19189.00 Byte, 353.00 Byte
Mbpp_395.py: 3884.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
Mbpp_414.py: 524664.00 Byte, 0.00 Byte
Mbpp_421.py: 6261264.00 Byte, 0.00 Byte
Mbpp_424.py: 33184.00 Byte, 0.00 Byte
Mbpp_425.py: 4385504.00 Byte, 4480.00 Byte
Mbpp_428.py: 65716.00 Byte, 0.00 Byte
Mbpp_433.py: 8388656.00 Byte, 0.00 Byte
Mbpp_437.py: 4194353.00 Byte, 0.00 Byte
Mbpp_440.py: 1266.00 Byte, 0.00 Byte
Mbpp_446.py: 67712.00 Byte, 0.00 Byte
Mbpp_451.py: 0.00 Byte, 0.00 Byte
Mbpp_456.py: 34073779.00 Byte, 480.00 Byte
Mbpp_460.py: 4179368.00 Byte, 4480.00 Byte
Mbpp_474.py: 524337.00 Byte, 0.00 Byte
Mbpp_476.py: 8388656.00 Byte, 0.00 Byte
Mbpp_477.py: 4194353.00 Byte, 0.00 Byte
Mbpp_563.py: 204.00 Byte, 0.00 Byte
Mbpp_572.py: 573728.00 Byte, 0.00 Byte
Mbpp_578.py: 3670016.00 Byte, 0.00 Byte
Mbpp_586.py: 458544.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_588.py: 8388656.00 Byte, 0.00 Byte
Mbpp_592.py: 449296.00 Byte, 0.00 Byte
Mbpp_597.py: 29360192.00 Byte, 0.00 Byte
Mbpp_604.py: 39300416.00 Byte, 0.00 Byte
Mbpp_610.py: 8388636.00 Byte, 0.00 Byte
Mbpp_611.py: 8450480.00 Byte, 4480.00 Byte
Mbpp_631.py: 1048625.00 Byte, 0.00 Byte
Mbpp_632.py: 524372.00 Byte, 0.00 Byte
Mbpp_633.py: 8456.00 Byte, 0.00 Byte
Mbpp_644.py: 5565328.00 Byte, 0.00 Byte
Mbpp_720.py: 7864952.00 Byte, 0.00 Byte
Mbpp_725.py: 41383606.00 Byte, 0.00 Byte
Mbpp_732.py: 524449.00 Byte, 0.00 Byte
Mbpp_740.py: 1409384.00 Byte, 64.00 Byte
Mbpp_744.py: 0.00 Byte, 0.00 Byte
Mbpp_750.py: 8388608.00 Byte, 0.00 Byte
Mbpp_753.py: 16735360.00 Byte, 0.00 Byte
Mbpp_754.py: 923216.00 Byte, 0.00 Byte
Mbpp_755.py: 7340296.00 Byte, 56.00 Byte
Mbpp_757.py: 6688184.00 Byte, 0.00 Byte
Mbpp_758.py: 8548968.00 Byte, 4544.00 Byte
Mbpp_760.py: 262200.00 Byte, 0.00 Byte
Mbpp_764.py: 158.00 Byte, 0.00 Byte
Mbpp_766.py: 92223008.00 Byte, 111944.00 Byte
Mbpp_775.py: 50331696.00 Byte, 0.00 Byte
Mbpp_777.py: 7340296.00 Byte, 56.00 Byte
Mbpp_781.py: 3208.00 Byte, 0.00 Byte
Mbpp_800.py: 0.00 Byte, 0.00 Byte
Mbpp_805.py: 8500256.00 Byte, 4480.00 Byte
Mbpp_808.py: 0.00 Byte, 0.00 Byte
