HumanEval_0.py: 20971576.00 Byte, 0.00 Byte
HumanEval_120.py: 11336.00 Byte, 0.00 Byte
HumanEval_121.py: 2097512.00 Byte, 0.00 Byte
Mbpp_123.py: 1492.00 Byte, 0.00 Byte
Mbpp_128.py: 68021222.00 Byte, 0.00 Byte
Mbpp_129.py: 8450560.00 Byte, 4480.00 Byte
Mbpp_130.py: 1147128.00 Byte, 0.00 Byte
Mbpp_137.py: 33554504.00 Byte, 0.00 Byte
Mbpp_141.py: 8288.00 Byte, 0.00 Byte
HumanEval_149.py: 6719128.00 Byte, 108640.00 Byte
Mbpp_166.py: 16696.00 Byte, 0.00 Byte
Mbpp_170.py: 14483640.00 Byte, 0.00 Byte
Mbpp_226.py: 4194353.00 Byte, 0.00 Byte
Mbpp_230.py: 1048624.00 Byte, 0.00 Byte
Mbpp_239.py: 28904.00 Byte, 19431.00 Byte
Mbpp_240.py: 2621424.00 Byte, 0.00 Byte
Mbpp_251.py: 1665128.00 Byte, 0.00 Byte
Mbpp_256.py: 655376.00 Byte, 0.00 Byte
Mbpp_265.py: 2550020.00 Byte, 4424.00 Byte
Mbpp_281.py: 2883848.00 Byte, 0.00 Byte
Mbpp_296.py: 402576.00 Byte, 368.00 Byte
Mbpp_392.py: 19053.00 Byte, 217.00 Byte
Mbpp_395.py: 3884.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
Mbpp_414.py: 524624.00 Byte, 0.00 Byte
Mbpp_421.py: 6261272.00 Byte, 0.00 Byte
Mbpp_424.py: 33184.00 Byte, 0.00 Byte
Mbpp_425.py: 4376704.00 Byte, 4480.00 Byte
Mbpp_428.py: 65744.00 Byte, 0.00 Byte
Mbpp_433.py: 8388656.00 Byte, 0.00 Byte
Mbpp_437.py: 38918625.00 Byte, 0.00 Byte
Mbpp_440.py: 1146.00 Byte, 0.00 Byte
Mbpp_446.py: 65872.00 Byte, 0.00 Byte
Mbpp_451.py: 1146.00 Byte, 0.00 Byte
Mbpp_456.py: 34073351.00 Byte, 0.00 Byte
Mbpp_460.py: 4179368.00 Byte, 4480.00 Byte
Mbpp_474.py: 524337.00 Byte, 0.00 Byte
Mbpp_476.py: 8388656.00 Byte, 0.00 Byte
Mbpp_477.py: 4194353.00 Byte, 0.00 Byte
Mbpp_563.py: 72.00 Byte, 0.00 Byte
Mbpp_572.py: 573728.00 Byte, 0.00 Byte
Mbpp_578.py: 3197264.00 Byte, 0.00 Byte
Mbpp_586.py: 786432.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_588.py: 8388656.00 Byte, 0.00 Byte
Mbpp_597.py: 8388880.00 Byte, 0.00 Byte
Mbpp_604.py: 36678880.00 Byte, 0.00 Byte
Mbpp_611.py: 8450664.00 Byte, 4480.00 Byte
Mbpp_631.py: 9497297.00 Byte, 0.00 Byte
Mbpp_632.py: 1596800.00 Byte, 0.00 Byte
Mbpp_633.py: 8632.00 Byte, 0.00 Byte
Mbpp_644.py: 12582912.00 Byte, 0.00 Byte
Mbpp_720.py: 7864952.00 Byte, 0.00 Byte
Mbpp_725.py: 33413616.00 Byte, 0.00 Byte
Mbpp_740.py: 885052.00 Byte, 0.00 Byte
Mbpp_744.py: 0.00 Byte, 0.00 Byte
Mbpp_750.py: 16777272.00 Byte, 56.00 Byte
Mbpp_753.py: 16735448.00 Byte, 0.00 Byte
Mbpp_755.py: 7340296.00 Byte, 0.00 Byte
Mbpp_757.py: 188680.00 Byte, 0.00 Byte
Mbpp_758.py: 8548968.00 Byte, 4544.00 Byte
Mbpp_760.py: 262408.00 Byte, 0.00 Byte
Mbpp_764.py: 296.00 Byte, 0.00 Byte
Mbpp_766.py: 75445740.00 Byte, 112000.00 Byte
Mbpp_775.py: 33554768.00 Byte, 0.00 Byte
Mbpp_781.py: 152.00 Byte, 0.00 Byte
Mbpp_800.py: 0.00 Byte, 0.00 Byte
Mbpp_805.py: 8450452.00 Byte, 4480.00 Byte
Mbpp_808.py: 0.00 Byte, 0.00 Byte
